iter	Passed	Remaining
402	14077	20854
403	14127	20841
404	14156	20798
405	14192	20764
406	14229	20731
407	14262	20694
408	14293	20654
409	14327	20618
410	14356	20574
411	14386	20531
412	14416	20489
413	14445	20447
414	14474	20403
415	14502	20358
416	14551	20343
417	14594	20320
418	14613	20263
419	14645	20224
420	14673	20179
421	14694	20126
422	14724	20085
423	14750	20038
424	14774	19989
425	14796	19937
426	14825	19895
427	14857	19856
428	14888	19816
429	14931	19793
430	14969	19762
431	15011	19737
432	15077	19743
433	15163	19775
434	15206	19750
435	15248	19725
436	15293	19703
437	15325	19663
438	15359	19628
439	15394	19592
440	15423	19551
441	15458	19515
442	15502	19491
443	15536	19455
444	15590	19443
445	15639	19426
446	15677	19395
447	15702	19348
448	15737	19312
449	15776	19282
450	15799	19232
451	15833	19196
452	15868	19161
453	15904	19127
454	15950	19105
455	15991	19077
456	16017	19032
457	16053	18998
458	16085	18959
459	16115	18918
460	16202	18944
461	16263	18938
462	16294	18898
463	16323	18856
464	16349	18810
465	16374	18763
466	16401	18719
467	16433	18680
468	16463	18639
469	16494	18599
470	16536	18573
471	16586	18554
472	16635	18535
473	16666	18494
474	16692	18449
475	16718	18404
476	16746	18361
477	16769	18313
478	16800	18273
479	16834	18237
480	16868	18201
481	16902	18165
482	16937	18129
483	16967	18089
484	17002	18053
485	17027	18008
486	17050	17960
487	17080	17920
488	17139	17911
489	17188	17890
490	17217	17848
491	17247	17808
492	17267	17757
493	17311	17731
494	17349	17699
495	17386	17666
496	17413	17623
497	17450	17590
498	17497	17567
499	17567	17567
500	17639	17569
501	17673	17532
502	17706	17495
503	17738	17457
504	17772	17420
505	17803	17381
506	17834	17342
507	17860	17297
508	17898	17265
509	17941	17238
510	17983	17209
511	18023	17178
512	18063	17148
513	18093	17107
514	18124	17068
515	18152	17026
516	18209	17012
517	18231	16964
518	18263	16926
519	18299	16892
520	18346	16867
521	18410	16859
522	18512	16883
523	18586	16883
524	18657	16880
525	18722	16871
526	18773	16850
527	18798	16804
528	18830	16765
529	18869	16733
530	18914	16706
531	18952	16672
532	18991	16640
533	19030	16606
534	19068	16573
535	19110	16543
536	19138	16501
537	19175	16466
538	19231	16448
539	19262	16408
540	19287	16363
541	19314	16320
542	19343	16280
543	19375	16241
544	19403	16199
545	19434	16159
546	19462	16118
547	19492	16077
548	19520	16036
549	19549	15995
550	19599	15970
551	19668	15962
552	19706	15929
553	19743	15894
554	19779	15859
555	19816	15824
556	19848	15786
557	19884	15750
558	19917	15712
559	19946	15672
560	19971	15628
561	19997	15585
562	20026	15544
563	20057	15505
564	20085	15463
565	20114	15423
566	20145	15384
567	20176	15345
568	20225	15320
