iter	Passed	Remaining
399	39160	58740
400	39327	58746
401	39504	58765
402	39645	58730
403	39747	58636
404	39841	58531
405	40032	58569
406	40191	58559
407	40336	58527
408	40569	58622
409	40709	58582
410	40801	58472
411	40893	58363
412	40993	58264
413	41103	58179
414	41245	58140
415	41376	58086
416	41562	58108
417	41682	58035
418	41851	58032
419	41979	57971
420	42191	58025
421	42345	57998
422	42532	58017
423	42717	58031
424	42818	57930
425	42929	57844
426	43149	57902
427	43319	57893
428	43425	57799
429	43521	57690
430	43654	57631
431	43738	57507
432	43822	57384
433	43912	57268
434	44016	57170
435	44116	57068
436	44246	57004
437	44333	56884
438	44423	56769
439	44513	56653
440	44619	56558
441	44714	56449
442	44801	56331
443	44892	56216
444	44971	56088
445	45071	55985
446	45155	55863
447	45281	55793
448	45370	55677
449	45462	55564
450	45548	55446
451	45643	55337
452	45785	55285
453	45871	55167
454	45964	55056
455	46052	54939
456	46140	54823
457	46311	54805
458	46402	54692
459	46489	54574
460	46579	54460
461	46676	54355
462	46797	54276
463	46894	54171
464	46982	54055
465	47070	53938
466	47163	53829
467	47250	53712
468	47399	53665
469	47480	53542
470	47573	53431
471	47666	53321
472	47868	53333
473	48036	53305
474	48277	53359
475	48530	53424
476	48660	53353
477	48764	53253
478	48929	53220
479	49017	53102
480	49106	52985
481	49199	52873
482	49357	52831
483	49519	52793
484	49605	52673
485	49697	52560
486	49785	52443
487	49874	52327
488	49992	52241
489	50095	52140
490	50191	52031
491	50280	51915
492	50364	51794
493	50450	51675
494	50592	51614
495	50680	51497
496	50768	51380
497	50852	51261
498	50959	51163
499	51099	51099
500	51187	50983
501	51273	50864
502	51361	50749
503	51452	50635
504	51574	50553
505	51663	50438
506	51750	50321
507	51829	50197
508	51916	50080
509	52028	49988
510	52115	49871
511	52203	49756
512	52290	49639
513	52381	49528
514	52470	49414
515	52584	49323
516	52706	49240
517	52791	49122
518	52884	49012
519	52971	48896
520	53091	48811
521	53174	48692
522	53255	48571
523	53340	48453
524	53426	48338
525	53510	48220
526	53597	48105
527	53752	48051
528	53852	47948
529	53954	47846
530	54052	47741
531	54185	47666
532	54281	47560
533	54378	47454
534	54474	47346
535	54573	47242
536	54666	47133
537	54785	47046
538	54876	46934
539	54959	46817
540	55047	46704
541	55162	46613
542	55250	46499
543	55342	46389
544	55423	46271
545	55506	46153
546	55594	46040
547	55675	45921
548	55861	45889
549	55951	45778
550	56031	45658
551	56120	45547
552	56211	45437
553	56333	45351
554	56419	45237
555	56510	45127
556	56595	45011
557	56676	44894
558	56767	44784
559	56908	44713
560	56990	44596
561	57077	44484
562	57161	44368
563	57247	44254
564	57383	44180
565	57506	44095
566	57594	43983
567	57676	43866
568	57760	43751
569	57846	43638
570	57993	43571
571	58078	43457
572	58164	43343
573	58251	43232
574	58388	43156
575	58487	43052
576	58586	42949
577	58685	42846
578	58779	42739
579	58883	42639
580	59020	42563
581	59104	42449
582	59188	42335
583	59284	42230
584	59378	42123
585	59493	42031
586	59581	41920
587	59677	41814
588	59767	41705
589	59849	41590
590	59939	41481
591	60072	41401
592	60156	41287
593	60244	41177
594	60352	41080
595	60483	40999
596	60578	40893
597	60679	40791
598	60772	40684
599	60860	40573
600	60963	40473
601	61125	40411
602	61214	40301
603	61304	40193
604	61402	40089
605	61507	39989
606	61621	39896
607	61714	39789
608	61809	39684
609	62001	39640
610	62171	39582
611	62295	39494
612	62436	39417
613	62541	39317
614	62697	39249
615	62798	39147
616	62898	39043
617	63049	38972
618	63272	38944
619	63368	38839
620	63461	38731
621	63550	38620
622	63639	38510
623	63758	38418
624	63859	38315
625	63965	38215
626	64056	38107
627	64142	37995
628	64293	37922
629	64414	37830
630	64506	37722
631	64608	37620
632	64709	37517
633	64832	37427
634	64929	37321
635	65020	37212
636	65128	37113
637	65226	37009
638	65322	36903
639	65482	36834
640	65588	36733
641	65666	36617
642	65758	36509
643	65883	36419
644	65981	36315
645	66080	36211
646	66163	36098
647	66250	35988
648	66342	35880
649	66503	35809
650	66588	35697
651	66684	35592
652	66770	35481
653	66857	35371
654	66972	35275
655	67059	35165
656	67151	35057
657	67240	34948
658	67331	34840
659	67424	34734
660	67576	34657
661	67664	34547
662	67752	34438
663	67844	34330
664	67941	34226
665	68103	34154
666	68191	34044
667	68277	33934
668	68367	33826
669	68454	33716
670	68598	33634
671	68689	33526
672	68782	33420
673	68942	33346
674	69084	33262
675	69179	33157
676	69279	33053
677	69380	32950
678	69477	32845
679	69668	32785
680	69863	32726
681	70027	32652
682	70252	32606
683	70362	32506
